source,label,date
Donald Trump,0.0,2016-09-01
Donald Trump,2.0,2016-09-01
Donald Trump,1.0,2016-08-31
Donald Trump,4.0,2016-08-31
Donald Trump,0.0,2016-08-30
Donald Trump,2.0,2016-08-29
Donald Trump,1.0,2016-08-29
Donald Trump,1.0,2016-08-26
Donald Trump,2.0,2016-08-25
Donald Trump,2.0,2016-08-25
Donald Trump,2.0,2016-08-24
Donald Trump,2.0,2016-08-24
Donald Trump,2.0,2016-08-23
Donald Trump,3.0,2016-08-22
Donald Trump,4.0,2016-08-19
Donald Trump,1.0,2016-08-18
Donald Trump,2.0,2016-08-18
Joe Biden,2.0,2016-08-17
Donald Trump,1.0,2016-08-16
Donald Trump,0.0,2016-08-15
Donald Trump,3.0,2016-08-15
Donald Trump,0.0,2016-08-11
Donald Trump,2.0,2016-08-10
Donald Trump,1.0,2016-08-09
Donald Trump,5.0,2016-08-08
Donald Trump,1.0,2016-08-05
Donald Trump,0.0,2016-08-05
Donald Trump,0.0,2016-08-05
Donald Trump,1.0,2016-08-04
Donald Trump,4.0,2016-08-04
Donald Trump,0.0,2016-08-03
Donald Trump,4.0,2016-08-02
Joe Biden,1.0,2016-08-02
Donald Trump,0.0,2016-08-01
Donald Trump,,2016-08-01
Donald Trump,,2016-07-28
Donald Trump,4.0,2016-07-28
Joe Biden,4.0,2016-07-28
Donald Trump,4.0,2016-07-27
Donald Trump,3.0,2016-07-27
Donald Trump,1.0,2016-07-25
Donald Trump,0.0,2016-07-24
Donald Trump,4.0,2016-07-23
Donald Trump,0.0,2016-07-22
Donald Trump,4.0,2016-07-22
Donald Trump,5.0,2016-07-22
Donald Trump,2.0,2016-07-22
Donald Trump,4.0,2016-07-22
Donald Trump,5.0,2016-07-22
Donald Trump,4.0,2016-07-22
Donald Trump,1.0,2016-07-22
Donald Trump,4.0,2016-07-22
Donald Trump,3.0,2016-07-22
Donald Trump,4.0,2016-07-22
Donald Trump,3.0,2016-07-22
Donald Trump,5.0,2016-07-22
Donald Trump,3.0,2016-07-22
Donald Trump,2.0,2016-07-22
Donald Trump,3.0,2016-07-22
Donald Trump,3.0,2016-07-22
Donald Trump,1.0,2016-07-20
Donald Trump,1.0,2016-07-19
Joe Biden,3.0,2016-07-15
Donald Trump,1.0,2016-07-15
Donald Trump,5.0,2016-07-14
Donald Trump,3.0,2016-07-11
Donald Trump,4.0,2016-07-08
